320294, 38.144805900, -76.428490300, -0.09, 5.64, 18.89, 267.68
320495, 38.144806300, -76.428490100, -0.10, 5.66, 18.88, 267.68
320695, 38.144806600, -76.428489700, -0.07, 5.66, 18.90, 267.69
320895, 38.144807000, -76.428489300, -0.07, 5.64, 18.90, 267.72
321094, 38.144807200, -76.428489100, -0.08, 5.60, 18.89, 267.73
321295, 38.144807400, -76.428488900, -0.08, 5.61, 18.87, 267.74
321495, 38.144807500, -76.428488800, -0.11, 5.60, 18.86, 267.74
321695, 38.144807600, -76.428488500, -0.11, 5.58, 18.86, 267.75
321894, 38.144807700, -76.428488400, -0.12, 5.59, 18.85, 267.76
322094, 38.144807700, -76.428488200, -0.11, 5.52, 18.84, 267.73
322294, 38.144807700, -76.428488100, -0.11, 5.58, 18.83, 267.73
322494, 38.144807700, -76.428488000, -0.10, 5.45, 18.82, 267.70
322694, 38.144807700, -76.428487900, -0.09, 5.58, 18.81, 267.71
322895, 38.144807700, -76.428487700, -0.09, 5.40, 18.80, 267.68
323094, 38.144807700, -76.428487600, -0.09, 5.53, 18.80, 267.70
323295, 38.144807700, -76.428487400, -0.08, 5.42, 18.80, 267.69
323494, 38.144808000, -76.428487400, -0.09, 5.54, 18.79, 267.71
323695, 38.144808100, -76.428487300, -0.10, 5.50, 18.78, 267.72
323894, 38.144808300, -76.428487100, -0.09, 5.53, 18.78, 267.73
324094, 38.144808400, -76.428486700, -0.08, 5.46, 18.81, 267.72
324295, 38.144808500, -76.428486400, -0.05, 5.53, 18.81, 267.72
324495, 38.144808600, -76.428486300, -0.02, 5.45, 18.80, 267.70
324694, 38.144808700, -76.428486000, -0.01, 5.56, 18.82, 267.71
324894, 38.144808700, -76.428486000, 0.00, 5.42, 18.79, 267.68
325094, 38.144808900, -76.428485900, 0.00, 5.54, 18.79, 267.71
325294, 38.144809000, -76.428485700, -0.01, 5.41, 18.79, 267.71
325494, 38.144809200, -76.428485400, -0.02, 5.49, 18.80, 267.74
325695, 38.144809200, -76.428485300, -0.02, 5.39, 18.78, 267.73
325894, 38.144809300, -76.428485200, -0.03, 5.50, 18.79, 267.75
326095, 38.144809400, -76.428485100, -0.03, 5.40, 18.77, 267.74
326295, 38.144809400, -76.428485100, -0.03, 5.46, 18.76, 267.75
326495, 38.144809300, -76.428485100, -0.01, 5.34, 18.74, 267.74
326694, 38.144809300, -76.428485100, -0.01, 5.47, 18.74, 267.78
326894, 38.144809400, -76.428485100, -0.02, 5.41, 18.74, 267.78
327094, 38.144809400, -76.428485100, -0.04, 5.44, 18.73, 267.80
327295, 38.144809500, -76.428485200, -0.05, 5.44, 18.73, 267.82
327495, 38.144809700, -76.428485300, -0.06, 5.45, 18.71, 267.84
327695, 38.144809900, -76.428485400, -0.09, 5.50, 18.70, 267.86
327895, 38.144810100, -76.428485500, -0.10, 5.55, 18.71, 267.86
328094, 38.144810100, -76.428485600, -0.09, 5.54, 18.70, 267.84
328294, 38.144809900, -76.428485600, -0.10, 5.49, 18.69, 267.82
328494, 38.144810000, -76.428485700, -0.09, 5.50, 18.69, 267.82
328694, 38.144810100, -76.428485700, -0.07, 5.43, 18.71, 267.80
328895, 38.144810200, -76.428485800, -0.07, 5.50, 18.71, 267.79
329094, 38.144810300, -76.428485800, -0.09, 5.43, 18.71, 267.79
329294, 38.144810200, -76.428485900, -0.10, 5.43, 18.71, 267.78
329494, 38.144810200, -76.428485900, -0.09, 5.47, 18.71, 267.76
329694, 38.144810200, -76.428486000, -0.09, 5.48, 18.71, 267.76
329894, 38.144810200, -76.428486000, -0.08, 5.55, 18.72, 267.77
330094, 38.144810400, -76.428485900, -0.07, 5.44, 18.72, 267.76
330294, 38.144810400, -76.428485800, -0.06, 5.43, 18.74, 267.76
330494, 38.144810500, -76.428485700, -0.07, 5.45, 18.76, 267.77
330695, 38.144810500, -76.428485600, -0.05, 5.41, 18.75, 267.77
330894, 38.144810500, -76.428485600, -0.04, 5.42, 18.75, 267.77
331095, 38.144810300, -76.428485600, -0.05, 5.36, 18.74, 267.77
331295, 38.144810300, -76.428485500, -0.07, 5.32, 18.75, 267.78
331494, 38.144810300, -76.428485400, -0.07, 5.31, 18.76, 267.77
331695, 38.144810300, -76.428485300, -0.09, 5.34, 18.78, 267.79
331895, 38.144810400, -76.428485200, -0.09, 5.33, 18.79, 267.80
332094, 38.144810400, -76.428485200, -0.07, 5.34, 18.77, 267.80
332294, 38.144810400, -76.428485300, -0.07, 5.43, 18.77, 267.82
332495, 38.144810400, -76.428485500, -0.05, 5.32, 18.75, 267.79
332695, 38.144810400, -76.428485600, -0.06, 5.48, 18.76, 267.82
332894, 38.144810300, -76.428485700, -0.06, 5.29, 18.75, 267.80
333094, 38.144810300, -76.428485800, -0.03, 5.41, 18.76, 267.81
333294, 38.144810200, -76.428486000, -0.04, 5.32, 18.74, 267.79
333494, 38.144810100, -76.428486100, -0.05, 5.43, 18.75, 267.80
333694, 38.144809900, -76.428486300, -0.07, 5.28, 18.73, 267.78
333894, 38.144809900, -76.428486400, -0.07, 5.39, 18.72, 267.80
334095, 38.144809800, -76.428486500, -0.06, 5.31, 18.72, 267.79
334295, 38.144809800, -76.428486700, -0.06, 5.41, 18.73, 267.81
334494, 38.144809800, -76.428486900, -0.07, 5.36, 18.73, 267.79
334694, 38.144809700, -76.428487000, -0.07, 5.34, 18.73, 267.79
334894, 38.144809700, -76.428487100, -0.06, 5.35, 18.73, 267.80
335095, 38.144809800, -76.428487300, -0.05, 5.37, 18.72, 267.80
335295, 38.144810000, -76.428487500, -0.07, 5.44, 18.71, 267.82
335494, 38.144810000, -76.428487700, -0.07, 5.45, 18.72, 267.84
335694, 38.144810000, -76.428487800, -0.07, 5.49, 18.72, 267.84
335894, 38.144809900, -76.428487900, -0.06, 5.45, 18.72, 267.83
336094, 38.144809800, -76.428488000, -0.05, 5.46, 18.72, 267.84
336294, 38.144809700, -76.428488000, -0.05, 5.40, 18.72, 267.85
336495, 38.144809600, -76.428488100, -0.07, 5.40, 18.72, 267.85
336695, 38.144809500, -76.428488100, -0.07, 5.45, 18.73, 267.86
336895, 38.144809400, -76.428488200, -0.07, 5.40, 18.73, 267.85
337094, 38.144809500, -76.428488200, -0.09, 5.46, 18.73, 267.88
337294, 38.144809400, -76.428488200, -0.10, 5.41, 18.73, 267.88
337494, 38.144809500, -76.428488300, -0.10, 5.54, 18.74, 267.90
337695, 38.144809500, -76.428488300, -0.10, 5.53, 18.73, 267.90
337895, 38.144809500, -76.428488400, -0.10, 5.40, 18.70, 267.89
338095, 38.144809500, -76.428488500, -0.09, 5.54, 18.71, 267.90
338295, 38.144809500, -76.428488600, -0.05, 5.41, 18.70, 267.89
